hours_01_01_11,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
0.00,1,0,0,1,9.84,14.395,81,0,3,13,16
1.00,1,0,0,1,9.02,13.635,80,0,8,32,40
2.00,1,0,0,1,9.02,13.635,80,0,5,27,32
3.00,1,0,0,1,9.84,14.395,75,0,3,10,13
4.00,1,0,0,1,9.84,14.395,75,0,0,1,1
5.00,1,0,0,2,9.84,12.88,75,6.0032,0,1,1
6.00,1,0,0,1,9.02,13.635,80,0,2,0,2
7.00,1,0,0,1,8.2,12.88,86,0,1,2,3
8.00,1,0,0,1,9.84,14.395,75,0,1,7,8
9.00,1,0,0,1,13.12,17.425,76,0,8,6,14
10.00,1,0,0,1,15.58,19.695,76,16.9979,12,24,36
11.00,1,0,0,1,14.76,16.665,81,19.0012,26,30,56
12.00,1,0,0,1,17.22,21.21,77,19.0012,29,55,84
13.00,1,0,0,2,18.86,22.725,72,19.9995,47,47,94
14.00,1,0,0,2,18.86,22.725,72,19.0012,35,71,106
15.00,1,0,0,2,18.04,21.97,77,19.9995,40,70,110
16.00,1,0,0,2,17.22,21.21,82,19.9995,41,52,93
17.00,1,0,0,2,18.04,21.97,82,19.0012,15,52,67
18.00,1,0,0,3,17.22,21.21,88,16.9979,9,26,35
19.00,1,0,0,3,17.22,21.21,88,16.9979,6,31,37
20.00,1,0,0,2,16.4,20.455,87,16.9979,11,25,36
21.00,1,0,0,2,16.4,20.455,87,12.998,3,31,34
22.00,1,0,0,2,16.4,20.455,94,15.0013,11,17,28
23.00,1,0,0,2,18.86,22.725,88,19.9995,15,24,39
24.00,1,0,0,2,18.86,22.725,88,19.9995,4,13,17
25.00,1,0,0,2,18.04,21.97,94,16.9979,1,16,17
26.00,1,0,0,2,17.22,21.21,100,19.0012,1,8,9
27.00,1,0,0,2,18.86,22.725,94,12.998,2,4,6
28.00,1,0,0,2,18.86,22.725,94,12.998,2,1,3
30.00,1,0,0,3,17.22,21.21,77,19.9995,0,2,2
31.00,1,0,0,2,16.4,20.455,76,12.998,0,1,1
32.00,1,0,0,3,16.4,20.455,71,15.0013,0,8,8
33.00,1,0,0,2,15.58,19.695,76,15.0013,1,19,20
34.00,1,0,0,2,14.76,17.425,81,15.0013,7,46,53
35.00,1,0,0,2,14.76,16.665,71,16.9979,16,54,70
36.00,1,0,0,2,14.76,16.665,66,19.9995,20,73,93
37.00,1,0,0,2,14.76,17.425,66,8.9981,11,64,75
38.00,1,0,0,3,14.76,17.425,76,12.998,4,55,59
39.00,1,0,0,3,13.94,16.665,81,11.0014,19,55,74
40.00,1,0,0,3,13.94,16.665,71,11.0014,9,67,76
41.00,1,0,0,1,13.94,16.665,57,12.998,7,58,65
42.00,1,0,0,2,14.76,16.665,46,22.0028,10,43,53
43.00,1,0,0,1,13.12,14.395,42,30.0026,1,29,30
44.00,1,0,0,1,12.3,13.635,39,23.9994,5,17,22
45.00,1,0,0,1,10.66,11.365,44,22.0028,11,20,31
46.00,1,0,0,1,9.84,10.605,44,19.9995,0,9,9
47.00,1,0,0,1,9.02,11.365,47,11.0014,0,8,8
48.00,1,0,1,1,9.02,9.85,44,23.9994,0,5,5
49.00,1,0,1,1,8.2,8.335,44,27.9993,0,2,2
52.00,1,0,1,1,6.56,6.82,47,26.0027,0,1,1
53.00,1,0,1,1,6.56,6.82,47,19.0012,0,3,3
54.00,1,0,1,1,5.74,5.305,50,26.0027,0,30,30
55.00,1,0,1,1,5.74,6.82,50,12.998,1,63,64
56.00,1,0,1,1,5.74,6.06,50,19.0012,1,153,154
57.00,1,0,1,1,6.56,6.82,43,26.0027,7,81,88
58.00,1,0,1,1,7.38,8.335,43,16.9979,11,33,44
59.00,1,0,1,1,8.2,9.09,40,22.0028,10,41,51
60.00,1,0,1,1,9.02,10.605,35,19.9995,13,48,61
61.00,1,0,1,1,9.84,10.605,35,19.0012,8,53,61
62.00,1,0,1,1,10.66,12.12,30,19.0012,11,66,77
63.00,1,0,1,1,10.66,12.12,30,16.9979,14,58,72
64.00,1,0,1,1,10.66,12.12,30,16.9979,9,67,76
65.00,1,0,1,1,9.84,11.365,30,15.0013,11,146,157
66.00,1,0,1,1,9.84,12.88,32,7.0015,9,148,157
67.00,1,0,1,1,8.2,12.88,47,0,8,102,110
68.00,1,0,1,1,8.2,11.365,47,7.0015,3,49,52
69.00,1,0,1,1,7.38,9.85,64,8.9981,3,49,52
70.00,1,0,1,1,5.74,7.575,69,8.9981,0,20,20
71.00,1,0,1,1,7.38,10.605,55,7.0015,1,11,12
72.00,1,0,1,1,6.56,9.09,55,7.0015,0,5,5
73.00,1,0,1,1,6.56,9.09,59,7.0015,0,2,2
74.00,1,0,1,1,5.74,7.575,63,8.9981,0,1,1
76.00,1,0,1,1,5.74,9.09,63,6.0032,0,2,2
77.00,1,0,1,1,4.92,7.575,68,7.0015,0,4,4
78.00,1,0,1,1,4.92,7.575,74,7.0015,0,36,36
79.00,1,0,1,1,4.92,7.575,74,8.9981,2,92,94
80.00,1,0,1,1,5.74,7.575,69,11.0014,2,177,179
81.00,1,0,1,1,6.56,7.575,64,15.0013,2,98,100
